S.No.,Compound Name,Smiles,IDO_IC50 (nM),IDO_pic50,TDO_IC50 (nM),TDO_pic50
912,"US11267824, Example 178",CCc1sc2cncn2c1C(O)CC1CCC(C)(C)CC1,118,6.93,1290,5.89
913,"US11267824, Example 179",CCc1sc2cncn2c1C(O)CC1CCCC1,28.9,7.54,203,6.69
914,"US11267824, Example 18",OC(C1CCCC1)c1c(Cl)sc2cncn12,168,6.77,228,6.64
915,"US11267824, Example 180",CCc1sc2cncn2c1C(O)C1CC(C)(C)C1,6.65,8.18,72.9,7.14
916,"US11267824, Example 181",OC(C1CCCCC1)c1c(sc2cncn12)-c1cccc(F)c1,965,6.02,885,6.05
917,"US11267824, Example 182",OC(C1CCCCC1)c1c(sc2cncn12)-c1ccccc1F,441,6.36,239,6.62
918,"US11267824, Example 183",Cc1sc2cncn2c1C(O)CC1CCCC1,190,6.72,573,6.24
919,"US11267824, Example 184",OC(C1CCCCC1)c1c(sc2cncn12)C1(F)CC1,115,6.94,1760,5.75
920,"US11267824, Example 185",CC[C@H](C)c1sc2cncn2c1C(O)C1CCCCC1,172,6.76,962,6.02
921,"US11267824, Example 186",OC(C1CCCCC1)c1c(sc2cncn12)[C@@H]1C[C@@H]1F,21.8,7.66,491,6.31
922,"US11267824, Example 187",OC(C1CCCCC1)c1c(sc2cncn12)[C@@H]1C[C@H]1F,18.5,7.73,2260,5.65
923,"US11267824, Example 188",CC(C)n1cc(cn1)C(O)c1c(sc2cncn12)C1CC1,111,6.95,10200,4.99
924,"US11267824, Example 189",OC(c1cnn(c1)C1CCCC1)c1c(sc2cncn12)C1CC1,112,6.95,10200,4.99
925,"US11267824, Example 19",OC(C1CC1)c1c(Cl)sc2cncn12,1040,5.98,2660,5.58
926,"US11267824, Example 190",OC(c1c(sc2cncn12)C1CC1)C12CC(C1)(CC2)c1ccccc1,61.2,7.21,891,6.05
927,"US11267824, Example 191",OC(c1c(sc2cncn12)C1CC1)C12CC(C1)(C2)c1ccccc1,28.6,7.54,1270,5.9
928,"US11267824, Example 192",Cn1cc(nn1)C(O)c1c(sc2cncn12)C1CC1,590,6.23,10200,4.99
929,"US11267824, Example 193",CCn1cc(nn1)C(O)c1c(sc2cncn12)C1CC1,498,6.3,10200,4.99
930,"US11267824, Example 194",CC(C)n1cc(nn1)C(O)c1c(sc2cncn12)C1CC1,304,6.52,10200,4.99
931,"US11267824, Example 195",OC(c1cn(nn1)C1CCCC1)c1c(sc2cncn12)C1CC1,96.1,7.02,10200,4.99
932,"US11267824, Example 196",OC(c1cn(nn1)C1CCC1)c1c(sc2cncn12)C1CC1,183,6.74,10200,4.99
933,"US11267824, Example 197",OC(c1cn(nn1)C1CCCCC1)c1c(sc2cncn12)C1CC1,287,6.54,10200,4.99
934,"US11267824, Example 198",CCc1sc2cncn2c1C(O)c1cn(nn1)C1CCCC1,116,6.94,10200,4.99
935,"US11267824, Example 199",Cc1sc2cncn2c1C(O)c1cn(nn1)C1CCCC1,835,6.08,10200,4.99
936,"US11267824, Example 1a",O[C@@H](C1CCCCC1)c1c(sc2cncn12)C1CC1,7.5,8.12,115,6.94
937,"US11267824, Example 20",O[C@H]([C@@H]1C[C@H]2CCC1C2)c1c(sc2cncn12)C1CC1,16.1,7.79,190,6.72
938,"US11267824, Example 200",OC(c1c[nH]nn1)c1c(sc2cncn12)C1CC1,1950,5.71,10200,4.99
939,"US11267824, Example 21",OC(CC1CC(F)(F)C1)c1c(sc2cncn12)C1CC1,113,6.95,470,6.33
940,"US11267824, Example 22",OC(CC12CCC(CC1)C2)c1c(sc2cncn12)C1CC1,33.7,7.47,177,6.75
941,"US11267824, Example 23",CC1(CC(O)c2c(sc3cncn23)C2CC2)CCCCC1,40.5,7.39,204,6.69
942,"US11267824, Example 24",OC(CC1CCCC1)c1c(sc2cncn12)C1CC1,25.6,7.59,394,6.4
943,"US11267824, Example 24a",O[C@H](CC1CCCC1)c1c(sc2cncn12)C1CC1,20.5,7.69,356,6.45
944,"US11267824, Example 25",CC1(C)CCC(CC(O)c2c(sc3cncn23)C2CC2)CC1,75.2,7.12,775,6.11
945,"US11267824, Example 26",CC1(C)CCC(CC1)C(O)c1c(sc2cncn12)C1CC1,25.2,7.6,387,6.41
946,"US11267824, Example 28",OC(CC1CCCCCC1)c1c(sc2cncn12)C1CC1,24.3,7.61,470,6.33
947,"US11267824, Example 28a",O[C@H](CC1CCCCCC1)c1c(sc2cncn12)C1CC1,22.2,7.65,358,6.45
948,"US11267824, Example 29",CC1CCCC(CC(O)c2c(sc3cncn23)C2CC2)C1,21.4,7.67,509,6.29
949,"US11267824, Example 2a",O[C@@H](CC1CCCCC1)c1c(sc2cncn12)C1CC1,10.3,7.99,268,6.57
950,"US11267824, Example 30",CC1CCC(C1)C(O)c1c(sc2cncn12)C1CC1,12.1,7.92,454,6.34
951,"US11267824, Example 31",CC1CCCCC1CC(O)c1c(sc2cncn12)C1CC1,45.2,7.34,411,6.39
952,"US11267824, Example 32",OC(c1cccs1)c1c(Br)sc2cncn12,63.4,7.2,643,6.19
953,"US11267824, Example 33",OC(CC1CCCCC1)c1c(Br)sc2cncn12,55.7,7.25,1410,5.85
954,"US11267824, Example 34",CC1(C)CCC(CC(O)c2c(sc3cncn23)C2CC2)C1,39.4,7.4,321,6.49
955,"US11267824, Example 34a",CC1(C)CCC(C[C@@H](O)c2c(sc3cncn23)C2CC2)C1,19.5,7.71,262,6.58
956,"US11267824, Example 35",OC(CC1CCC(C1)c1ccccc1)c1c(sc2cncn12)C1CC1,114,6.94,1570,5.8
957,"US11267824, Example 36",CC1(C)CC(C1)C(O)c1c(sc2cncn12)C1CC1,5.38,8.27,269,6.57
958,"US11267824, Example 36a",CC1(C)CC(C1)[C@H](O)c1c(sc2cncn12)C1CC1,5.03,8.3,246,6.61
959,"US11267824, Example 37",OC(CC1CCC(CC1)c1ccccc1)c1c(sc2cncn12)C1CC1,353,6.45,2460,5.61
960,"US11267824, Example 38",OC(CC1CC2CC1C=C2)c1c(sc2cncn12)C1CC1,22.6,7.65,191,6.72
961,"US11267824, Example 39",CC1(CC(O)c2c(sc3cncn23)C2CC2)CCC1,41.7,7.38,300,6.52
962,"US11267824, Example 3a",CC(C)c1sc2cncn2c1[C@@H](O)C1CCCCC1,11.7,7.93,603,6.22
963,"US11267824, Example 40",OC(CC1CCC1)c1c(sc2cncn12)C1CC1,44.9,7.35,697,6.16
964,"US11267824, Example 41",OC(CC1CC2CCC1O2)c1c(sc2cncn12)C1CC1,93.4,7.03,2340,5.63
965,"US11267824, Example 42",OC(CC1CCC(CC1)C(F)(F)F)c1c(sc2cncn12)C1CC1,92.2,7.04,520,6.28
966,"US11267824, Example 43",OC(C1CCC1)c1c(sc2cncn12)C1CC1,25.1,7.6,907,6.04
967,"US11267824, Example 46",OC(C1CCCC1)c1c(sc2cncn12)C1CC1,11.4,7.94,473,6.33
968,"US11267824, Example 47",CC1(C)CCC(C1)C(O)c1c(sc2cncn12)C1CC1,18.8,7.73,287,6.54
969,"US11267824, Example 47a",CC1(C)CC[C@@H](C1)[C@H](O)c1c(sc2cncn12)C1CC1,15,7.82,328,6.48
970,"US11267824, Example 47b",CC1(C)CC[C@@H](C1)[C@@H](O)c1c(sc2cncn12)C1CC1,5.99,8.22,190,6.72
971,"US11267824, Example 48",CC1CCCC1C(O)c1c(sc2cncn12)C1CC1,8.4,8.08,70.6,7.15
972,"US11267824, Example 48a",CC1(CCCC1)[C@H](O)c1c(sc2cncn12)C1CC1,4.37,8.36,42.5,7.37
973,"US11267824, Example 49",CC1CCC(CC(O)c2c(sc3cncn23)C2CC2)CC1,50.3,7.3,638,6.2
974,"US11267824, Example 4a",CC(C)c1sc2cncn2c1[C@@H](O)CC1CCCCC1,15.5,7.81,386,6.41
975,"US11267824, Example 50",OC(c1c(sc2cncn12)C1CC1)c1ccccc1,50.5,7.3,989,6
976,"US11267824, Example 50a",O[C@H](c1c(sc2cncn12)C1CC1)c1ccccc1,20,7.7,494,6.31
977,"US11267824, Example 54",CCc1cccc(c1)C(O)c1c(sc2cncn12)C1CC1,120,6.92,1850,5.73
978,"US11267824, Example 55",COc1ccc(cc1)C(O)c1c(sc2cncn12)C1CC1,86.9,7.06,2270,5.64
979,"US11267824, Example 57",Cc1sc2cncn2c1C(O)c1cccs1,433,6.36,829,6.08
980,"US11267824, Example 58",CNc1ccc(cc1)C(O)c1c(C)sc2cncn12,1430,5.84,10200,4.99
981,"US11267824, Example 5a",Cc1sc2cncn2c1[C@@H](O)CC1CCCCC1,16.5,7.78,375,6.43
982,"US11267824, Example 6",Cc1sc2cncn2c1[C@@H](O)C1CCCCC1,134,6.87,143,6.84
983,"US11267824, Example 60",OC(Cc1c(Cl)cccc1Cl)c1c(sc2cncn12)C1CC1,287,6.54,455,6.34
984,"US11267824, Example 62",COc1cccc(CC(O)c2c(C)sc3cncn23)c1,3150,5.5,7160,5.15
985,"US11267824, Example 63",OC(C1CCCCC1)c1c(sc2cncn12)C(F)(F)F,27,7.57,564,6.25
986,"US11267824, Example 63a",O[C@@H](C1CCCCC1)c1c(sc2cncn12)C(F)(F)F,20.9,7.68,341,6.47
987,"US11267824, Example 64",OC(CC1CCCCC1)c1c(sc2cncn12)C(F)(F)F,69,7.16,3180,5.5
988,"US11267824, Example 65",CC(CC(O)c1c(sc2cncn12)C1CC1)C1CCCCC1,124,6.91,931,6.03
989,"US11267824, Example 66",CCC(C(O)c1c(sc2cncn12)C1CC1)C1CCCCC1,1570,5.8,10200,4.99
990,"US11267824, Example 68",OC(C1CCCCC1)c1c(C=C)sc2cncn12,14.4,7.84,29.3,7.53
991,"US11267824, Example 68a",O[C@@H](C1CCCCC1)c1c(C=C)sc2cncn12,4.63,8.33,11.6,7.94
992,"US11267824, Example 69",CC1(C)CCCC(C1)C(O)c1c(sc2cncn12)C1CC1,40,7.4,255,6.59
993,"US11267824, Example 6a",Cc1sc2cncn2c1[C@H](O)C1CCCCC1,37.3,7.43,60.4,7.22
994,"US11267824, Example 7",OC(C1CCCCC1)c1c(sc2cncn12)C1CCC1,94.2,7.03,324,6.49
995,"US11267824, Example 70",OC(C1CCC2(CCCC2)CC1)c1c(sc2cncn12)C1CC1,72.1,7.14,746,6.13
996,"US11267824, Example 71",OC(CC1CCC(F)(F)CC1)c1c(sc2cncn12)C1CC1,28.5,7.55,263,6.58
997,"US11267824, Example 72",CC(C)C1CCC(CC1)C(O)c1c(sc2cncn12)C1CC1,102,6.99,1470,5.83
998,"US11267824, Example 73",OC(C1CCC(CC1)c1ccccc1)c1c(sc2cncn12)C1CC1,43.7,7.36,3110,5.51
999,"US11267824, Example 73a",O[C@H](C1CCC(CC1)c1ccccc1)c1c(sc2cncn12)C1CC1,6.45,8.19,2300,5.64
1000,"US11267824, Example 74",CC(C)(C)C1CCC(CC(O)c2c(sc3cncn23)C2CC2)CC1,950,6.02,4330,5.36
1001,"US11267824, Example 75",OC(CC1CCCCC1c1ccccc1)c1c(sc2cncn12)C1CC1,1040,5.98,9460,5.02
1002,"US11267824, Example 76",CC1(C)CCCCC1CC(O)c1c(sc2cncn12)C1CC1,147,6.83,295,6.53
1003,"US11267824, Example 77",OC(C1CCC(Cc2ccccc2)C1)c1c(sc2cncn12)C1CC1,91.2,7.04,3900,5.41
1004,"US11267824, Example 78",CC(C)CC1CCC(C1)C(O)c1c(sc2cncn12)C1CC1,72.3,7.14,2010,5.7
1005,"US11267824, Example 79",COC1CCCC(C1)C(O)c1c(sc2cncn12)C1CC1,109,6.96,1850,5.73
1006,"US11267824, Example 7a",O[C@H](C1CCCCC1)c1c(sc2cncn12)C1CCC1,39.7,7.4,138,6.86
1007,"US11267824, Example 8",O[C@@H](CC1CCCCC1)c1c(sc2cncn12)C1CCC1,122,6.91,256,6.59
1008,"US11267824, Example 81",OC(C1CCC(CC1)C(F)(F)F)c1c(sc2cncn12)C1CC1,43.3,7.36,772,6.11
1009,"US11267824, Example 82",CC(C(O)c1c(sc2cncn12)C1CC1)C1CCCCC1,87.3,7.06,822,6.09
1010,"US11267824, Example 83",OC(C1CCCC1c1ccccc1)c1c(sc2cncn12)C1CC1,296,6.53,5200,5.28
1011,"US11267824, Example 84",CC1(C)CCCC1C(O)c1c(sc2cncn12)C1CC1,74,7.13,133,6.88
1012,"US11267824, Example 85",CC(C)C1CCC(CC(O)c2c(sc3cncn23)C2CC2)CC1,511,6.29,2830,5.55
1013,"US11267824, Example 86",CC(C)(C)C1CCC(CC1)C(O)c1c(sc2cncn12)C1CC1,511,6.29,2780,5.56
1014,"US11267824, Example 87",OC(CC1CCC(CC1)C1CCC1)c1c(sc2cncn12)C1CC1,820,6.09,3100,5.51
1015,"US11267824, Example 88",CC1(CCC(C1)C(O)c1c(sc2cncn12)C1CC1)c1ccccc1,76.7,7.12,1280,5.89
1016,"US11267824, Example 8a",O[C@H](CC1CCCCC1)c1c(sc2cncn12)C1CCC1,72.3,7.14,129,6.89
1017,"US11267824, Example 9",OC(C1CCCCC1)c1c(sc2cncn12)C1CCCC1,237,6.63,193,6.71
1018,"US11267824, Example 91",OC(C1CCCC1Cc1ccccc1)c1c(sc2cncn12)C1CC1,288,6.54,1640,5.79
1019,"US11267824, Example 92",OC(C1CCCCC1)c1c(sc2cncn12)-c1ccccc1,382,6.42,246,6.61
1020,"US11267824, Example 92a",O[C@@H](C1CCCCC1)c1c(sc2cncn12)-c1ccccc1,242,6.62,171,6.77
1021,"US11267824, Example 93",OC(CC1CCCCC1)c1c(sc2cncn12)-c1ccccc1,296,6.53,496,6.3
1022,"US11267824, Example 94",OC(C1CCCCC1)c1c(sc2cncn12)-c1ccsc1,144,6.84,181,6.74
1023,"US11267824, Example 95",OC(CC1CCCCC1)c1c(sc2cncn12)-c1ccsc1,313,6.5,386,6.41
1024,"US11267824, Example 96::US11267824, Example 96a",CCc1sc2cncn2c1C(O)C1CCCCC1,10.5,7.98,20,7.7
1025,"US11267824, Example 97",OC(CC1CCCCC1)c1c(C=C)sc2cncn12,10.5,7.98,62.6,7.2
1026,"US11267824, Example 98",CC(C)Cc1sc2cncn2c1C(O)C1CCCCC1,435,6.36,583,6.23
1027,"US11267824, Example 99",CC(C)Cc1sc2cncn2c1C(O)CC1CCCCC1,837,6.08,1070,5.97
1028,"US11267824, Example 9a",O[C@H](C1CCCCC1)c1c(sc2cncn12)C1CCCC1,131,6.88,131,6.88
1029,"US9617272, Compound 101::US9981973, Compound 101",C1c2cn[nH]c2-c2ccccc12,10000,5,1000,6
1030,"US9617272, Compound 27::US9981973, Compound 27",O=C(CC1c2cncn2-c2ccccc12)C1CCCCC1,550,6.26,1000,6
1031,"US9617272, Compound 43::US9981973, Compound 43",O=C(CC1c2ccccc2-c2nncn12)C1CCCCC1,10000,5,10000,5
1032,"US9617272, Compound 53::US9981973, Compound 53",O=C(CC1c2ccccc2-c2cnnn12)C1CCCCC1,5500,5.26,5500,5.26
1033,"US9617272, Compound 54::US9981973, Compound 54",FC1(F)CCC(CC1)C(=O)CC1c2ccccc2-c2cnnn12,10000,5,10000,5
1034,"US9617272, Compound 67::US9981973, Compound 67",Cc1ccc(NC(=O)N2CCC(CC2)C(O)CC2c3ccccc3-c3cnnn23)cc1,5500,5.26,5500,5.26
1035,"US9617272, Compound 68::US9981973, Compound 68",OC(CC1c2ccccc2-c2cnnn12)C1CCC(F)(F)CC1,5500,5.26,1000,6
1036,"US9617272, Compound 69::US9981973, Compound 69",OC(CC1c2ccccc2-c2nncn12)C1CCCCC1,10000,5,10000,5
1037,"US9617272, Compound 70::US9981973, Compound 70",OC(CC1c2cncn2-c2ccccc12)C1CCCCC1,100,7,1000,6
