ATSC6p,ATSC5i,ATSC6i,AATSC6m,AATSC7m,AATSC8m,AATSC4v,AATSC6v,AATSC7v,AATSC8v,AATSC7i,AATSC8i,AATSC6s,AATSC7s,AATSC8s,MATS8m,MATS8e,MATS8s,GATS5c,GATS6c,GATS7c,GATS8c,GATS6m,GATS8m,GATS8v,GATS5e,GATS7e,GATS8e,GATS8p,GATS4s,GATS8s,VE3_DzZ,VE3_Dzs,BCUTc-1l,BCUTp-1h,SpMax5_Bhm,SpMax6_Bhm,SpMax5_Bhv,SpMin8_Bhe,SpMax3_Bhp,SpMax1_Bhs,SCH-7,VCH-7,SC-3,SC-5,CrippenLogP,nHBd,SHBint4,SHsOH,SsssCH,StsC,minHCsats,minsCH3,minssCH2,mindsCH,mindO,minsF,maxHBd,maxHBa,maxaaCH,IC2,IC3,CIC1,CIC3,MIC0,ZMIC1,ZMIC2,MLogP,MDEC-22,MDEC-33,MDEN-12,MDEN-23,MLFER_BH,MLFER_S,MLFER_E,MLFER_L,R_TpiPCTPC,nRotB,GGI3,GGI5,TopoPSA,XLogP,FP17,FP166,FP354,FP395,FP493,FP682,FP875,FP876,FP884,FP912,FP928,ExtFP48,ExtFP99,ExtFP354,ExtFP374,ExtFP579,ExtFP685,ExtFP704,ExtFP819,ExtFP924,ExtFP931,ExtFP993,ExtFP996,GraphFP21,GraphFP73,GraphFP149,GraphFP170,GraphFP356,GraphFP402,GraphFP453,GraphFP458,GraphFP641,GraphFP780,GraphFP1016,KRFP1566,AD2D627,AD2D628,Activity
1.182051924,19.36710816,2.555967065,-0.187295105,17.03085208,-3.366398334,-7.592930284,1.15940116,2.691450895,1.220956282,-0.528692106,-0.169068313,-0.267901412,-0.043666865,0.878616225,-0.059173949,0.248362018,0.458370806,0.722845051,1.059127359,0.75726627,0.658866979,0.85016093,1.701728402,1.121146117,0.633992613,0.708649944,1.091327665,1.270380162,0.931103462,1.061287787,-3.984810645,-3.211903127,-0.341800347,10.10976258,2.920145733,2.706399651,2.715037204,0.229282924,3.138116045,4.813374125,0.686393605,0.137024906,1.35006312,0.386488649,4.13337,2,0.192687463,0,0,0,0,0,0,0,0,13.2714022,0.580175934,13.2714022,1.823623709,4.307354922,4.664497779,1.152309375,0.142857143,23.54407646,34.63899772,26.90179774,2.23,4.046488119,7.478012285,0.516397779,0,1.629,2.51,2.417,11.29,9.570767999,2,1.701388889,0.503888889,64.08,2.256,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1
-2.196735131,7.019510919,-28.06414477,-5.519215256,4.354492163,-0.25471562,-3.375020192,-7.694116796,-1.946058853,1.509842935,0.064888936,-0.067432682,-0.2089525,-0.10365259,0.47833208,-0.00495906,0.146126572,0.311467131,0.783001264,1.284119713,0.906858593,0.771547865,0.875542495,1.250445818,1.07540675,0.696453866,0.832051034,0.838799276,1.080825803,0.886236563,0.759169533,-4.248127096,-4.274947828,-0.341478363,10.48695116,3.233306769,2.945402614,2.871422774,0.72834004,3.649470563,4.807105497,0.855841495,0.178407706,1.910903782,0.49759976,4.98746,2,0.171867773,0,0,0,0,1.841159994,0,0,0,13.50611147,0.560760818,13.50611147,1.863461469,4.701746263,5.017535737,1.135822617,0.230391776,21.81660223,36.46561062,29.07259646,2.45,4.634991196,11.57711239,0.6359039,0.987950634,1.874,2.974,3.119,13.963,14.19882387,3,2.236111111,1.004444444,81.9,2.006,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
-0.653816602,1.785012306,-5.82227468,-4.446303773,0.01351691,-12.57692838,-1.704392428,-4.69783759,-5.237842537,-5.547194393,-0.254047673,0.136970744,-0.107085231,-0.148179968,-0.297937412,-0.249868504,-0.222793446,-0.201503258,1.017163331,1.212816054,1.226084237,0.87655987,0.882304648,1.465803194,1.16697681,0.946067221,1.346856393,1.471185069,1.101347418,0.811023605,1.772230517,-4.282031369,-3.828665647,-0.341467946,10.51097614,3.268398281,3.016243213,2.970682582,0.800908765,3.69401915,4.817733046,0.815014007,0.176661407,2.01684953,0.330933093,6.13688,2,0.290802654,0,0,0,0,1.866185907,0,0,0,14.24502588,0.560190972,14.24502588,2.068215974,4.511768796,5.103055907,1.479031486,0.218872188,20.61611349,44.8631231,31.02567751,2.78,5.95371206,14.071279,0.6082202,0,2.009,3.144,3.275,15.316,14.84051107,3,2.263888889,1.132777778,76.97,4.091,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1.187338277,-0.233431758,11.51192752,-5.510521304,24.41388682,-9.861602377,-9.535307034,-1.682490369,15.05527793,-11.09647329,-0.230013982,-0.276509965,-0.369192361,0.111478147,0.687347092,-0.174883746,0.234658217,0.384191829,0.63877405,1.286203141,0.691933008,0.637654188,0.913026967,1.61204284,1.276345987,0.539562141,0.592197495,0.995463449,1.373038044,0.961364551,0.997577292,-3.976598574,-3.542816635,-0.341497427,10.26695175,2.958526583,2.853970917,2.797088262,0.372098946,3.192589139,4.836432105,0.748333334,0.161649976,1.555181477,0.470227868,4.2161,2,0.185282799,0,0,0,0,1.864772529,0,0,0,13.32432231,0.566287045,13.32432231,1.844457042,4.413716068,4.671780585,1.003852112,0.282415726,22.49631114,32.7496352,26.69029245,2.34,2.913638687,9.519267455,0.516397779,0,1.625,2.486,2.425,11.766,9.570971835,2,1.888888889,0.503888889,64.08,2.753,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
-2.897381073,23.11922692,-19.40654636,-8.163121587,-1.085587164,9.475943919,-3.885935929,-10.20739874,-4.521217065,8.725422147,-0.48826475,0.378820589,-0.160562251,-0.088061034,0.517553364,0.283110477,0.360957472,0.330018114,0.883197844,1.062782842,1.16088502,0.563759691,1.176055673,0.877552635,0.904046664,0.727805777,0.820106056,0.643432652,0.86618727,0.912518527,0.851349463,-3.456926546,-4.20455518,-0.341475797,10.43053688,2.969158125,2.847356373,2.849888473,0.798620231,3.664998483,4.75209119,0.717393058,0.134366869,1.439499261,0.330933093,4.59037,2,0,0,0,0,0,0,0,0,0,13.05399449,0.56649963,13.05399449,1.854720524,4.076584529,4.574054041,1.848122714,0.635399324,16.38847888,46.75002121,34.83410505,2.78,9.637606965,9.684779867,0.6082202,0,2.036,3.073,3.132,14.042,14.99681233,3,1.763888889,0.886111111,76.97,3.113,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
-0.037464784,9.388100001,3.211113415,-4.694808274,27.03318258,1.116087429,-8.283529425,-2.504468132,9.423862728,-3.024866083,-0.243413627,-0.490891611,-0.17234197,0.056324773,0.348970791,0.015322555,0.16205177,0.194216593,0.900660154,1.114944419,0.734186974,0.582912748,0.956042513,1.310387742,1.159301715,0.593110851,0.641426665,1.348057722,1.232453272,0.863098177,1.285822848,-3.750076918,-8.095745475,-0.312912155,11.50964439,3.025809173,2.762031929,2.726860103,0.275809811,3.316739204,4.786907847,0.686393605,0.309312849,1.35006312,0.386488649,4.73837,2,0.171096027,0,0,0,0,0,0,0,0,13.31487471,0.438715028,13.31487471,2.178903654,3.973447048,4.651084443,1.588201945,0.206896552,24.74223136,42.86895928,29.98205054,2.45,5.997315147,7.478012285,0.333333333,0,1.315,2.337,2.68,11.976,9.570767999,2,1.701388889,0.503888889,66.29,4.079,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
0.323566003,7.000251565,8.587987478,-2.934822456,8.092983466,3.638121055,-10.66702947,0.746755412,2.228404523,-0.632827618,-0.17538365,-0.215781771,-0.168305847,0.175604357,0.129448788,0.107551901,0.119726085,0.175006262,0.71416744,1.062732052,0.68001597,1.035313854,1.085986277,0.98349812,0.999794417,0.710750196,0.67889122,1.140306288,1.052176764,0.996006741,0.983572309,-4.354488136,-4.686896952,-0.342810047,10.06166838,2.797411952,2.675326976,2.73383826,0.619321333,3.149060904,4.185311946,0.812499539,0.148444141,1.211991933,0.303155315,3.90927,2,2.297884537,0,0,0,0,0,0.251226122,0,0,0,0.583841057,5.901085837,1.895810185,4.373551149,4.760647923,1.323211291,0.193548387,16.53068193,36.97279708,26.49937141,2.34,5.102550107,7.478012285,0.516397779,0,2.075,3.178,2.65,11.985,8.548482204,2,1.645833333,0.472777778,82.54,1.24,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1
-3.992674848,0.086139317,-0.688191423,-49.1399468,37.64736888,-48.78392812,-5.841451847,-11.83598999,16.13737207,-6.978710827,-0.138877097,-0.437552587,-0.179508314,0.064556983,0.360290799,-0.211519884,0.033411165,0.200998595,0.739518241,1.168475904,0.704895998,0.694564374,1.252571397,1.772882972,1.278096133,0.535899884,0.657413062,1.469273807,1.44172612,0.869955029,1.279193232,-3.174256531,-4.674475362,-0.312914433,12.99225729,3.330750706,3.001279659,2.769794991,0.275951765,3.356879258,4.836429384,0.748333334,0.412091224,1.555181477,0.470227868,5.50087,2,0.165430339,0,0,0,0,0,0,0,0,13.37552363,0.423540131,13.37552363,2.258033845,4.185230133,4.720049961,1.302566811,0.137931034,37.95652246,45.23492956,34.01934541,2.34,4.227600931,9.519267455,0.333333333,0,1.27,2.549,2.988,13.228,9.570971835,2,1.888888889,0.503888889,66.29,4.302,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
-1.45846494,16.32104206,-19.09605045,-1.571294954,12.22158519,1.998348455,-4.965872813,-4.251354944,4.365211389,2.869561517,-0.200451558,0.064582387,-0.123665625,0.108056415,0.512622603,0.040622054,0.259437409,0.258292538,0.808978264,0.96986755,0.88113777,0.832567675,0.836576593,1.132340793,0.95492555,0.833792057,0.595226383,0.786507703,1.014752876,1.198979462,0.787408049,-11.07333836,-11.18876046,-0.34151449,10.53290422,3.291001018,3.185809129,3.074069646,0.800958526,3.745751676,4.80323792,0.796628926,0.173731924,2.024597574,0.61545089,5.94267,2,0.158243891,0,0,0,0,1.337183483,0,0,11.63842936,13.58412308,0.556486844,13.58412308,1.802113935,4.48772963,4.98772963,1.563499716,0.471701989,21.26573881,49.21664263,35.92372499,2.89,7.852771697,13.82568605,0.516397779,0,2.046,3.359,3.337,16.219,14.94093004,5,2.388888889,1.15,90.38,4.163,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
-1.933141211,10.94745591,0.087603478,-43.89714593,26.84955298,-57.06155163,-4.686428767,-7.887746342,9.602356178,-2.211567468,-0.407122644,-0.056681599,-0.274454529,-0.029497919,0.893949417,-0.258139574,0.111665045,0.466681675,0.635402486,1.079684145,0.758841458,0.728445026,1.249824812,1.945488542,1.257227727,0.597537379,0.733478656,1.22026767,1.496943508,0.936434465,1.052326593,-3.352236884,-4.524697515,-0.339913113,10.49902253,3.210602138,2.910931609,2.758658054,0.2296534,3.191460769,4.86772559,0.748333334,0.191910311,1.555181477,0.470227868,4.89587,2,0.188442737,0,0,0,0,0,0,0,0,13.33205112,0.565001037,13.33205112,1.881864449,4.378783493,4.664497779,0.941590285,0.142857143,37.08365685,38.80680867,32.53877479,2.12,2.913638687,9.519267455,0.516397779,0,1.584,2.722,2.725,12.542,9.570971835,2,1.888888889,0.503888889,64.08,3.075,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
